uuid,datetime,borough,theme,message,user_days
0195c722-67ad-49cb-98a8-9101f55db5c4,2025-06-01T15:03:37.453519,5,maraude,Où manger dans le quartier ?,"Lundi, Mardi, Vendredi"
c1557b1f-dc1c-4397-b684-e2f29a02def6,2025-06-01T15:03:37.453519,19,maraude,Je cherche de l'aide pour manger.,Mardi
90894eda-edf1-45ff-b870-4deed8b464c6,2025-06-01T15:03:37.453519,11,maraude,Je cherche de l'aide pour manger.,Jeudi
51e29fe5-c82d-4ddd-992d-0a4c2884cfe6,2025-06-01T15:03:37.453519,17,maraude,Où manger dans le quartier ?,"Jeudi, Mardi, Vendredi"
e6c73837-5692-4f68-96b0-fd7245f8aa7c,2025-06-01T15:03:37.453519,20,maraude,Je cherche de l'aide pour manger.,Mardi
ef8b6db8-9b66-46f3-99e7-07eab0e05bd5,2025-06-01T15:03:37.453519,17,maraude,Je cherche de l'aide pour manger.,"Mardi, Mercredi, Vendredi"
688d9165-1692-42aa-bd9c-ee63d16aabb9,2025-06-01T15:03:37.453519,9,maraude,Je cherche de l'aide pour manger.,Lundi
6493c073-9e65-4802-bd48-88e3ef87d1b3,2025-06-01T15:03:37.453519,6,maraude,Où manger dans le quartier ?,
de21705f-be7c-4aef-a678-6509a106fee2,2025-06-01T15:03:37.453519,19,maraude,Y a-t-il une maraude prévue cette semaine ?,
e8860aa4-2372-47bf-aed4-338cce28bbe7,2025-06-01T15:03:37.453519,3,maraude,Y a-t-il une maraude prévue cette semaine ?,Mercredi
a3e1422f-21f8-4084-944c-195d1b456066,2025-06-01T15:03:37.453519,6,maraude,Où manger dans le quartier ?,"Jeudi, Mardi, Lundi"
36664e41-4abd-45a4-a426-03ce2b16fb39,2025-06-01T15:03:37.453519,6,maraude,Où manger dans le quartier ?,Mardi
d5e0909d-31ff-43f2-9882-91eedd0b0dbd,2025-06-01T15:03:37.453519,10,maraude,Y a-t-il une maraude prévue cette semaine ?,"Jeudi, Vendredi"
e4e2ab61-c802-4a51-bd67-2dea3ed280f6,2025-06-01T15:03:37.453519,3,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Mercredi, Jeudi"
113bea35-61ac-4658-a488-71a31498e75b,2025-06-01T15:03:37.453519,19,maraude,Où manger dans le quartier ?,
7d1d0899-69e7-4aca-ac62-54e166320f3d,2025-06-01T15:03:37.453519,7,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Jeudi, Mardi, Mercredi"
096faf49-7be7-455e-876f-a68d23e6d671,2025-06-01T15:03:37.453519,19,maraude,Y a-t-il une maraude prévue cette semaine ?,Vendredi
3cbb747d-0398-4862-8c85-bb57ac8f1485,2025-06-01T15:03:37.453519,15,maraude,Je cherche de l'aide pour manger.,"Mercredi, Lundi"
b42d722d-884f-483f-8547-5bb130f09c1d,2025-06-01T15:03:37.453519,20,maraude,Où manger dans le quartier ?,
92d7709b-27bc-4d7e-8bf2-2b55e9599bef,2025-06-01T15:03:37.453519,8,maraude,Où manger dans le quartier ?,"Mardi, Lundi"
346b256b-ed0f-41d1-8424-55633901205d,2025-06-01T15:03:37.453519,8,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Jeudi, Lundi, Mercredi"
1256e652-3313-471e-9fa4-26acad293260,2025-06-01T15:03:37.453519,11,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Jeudi, Mardi, Vendredi"
a97959ca-cdba-43de-849e-c28888d839dd,2025-06-01T15:03:37.453519,10,maraude,Je cherche de l'aide pour manger.,
7abb815a-fca5-4816-99ce-2e1d6c43a51a,2025-06-01T15:03:37.453519,4,maraude,Je cherche de l'aide pour manger.,
f39c2e24-47fd-41a6-9fbd-dfc34e1d159e,2025-06-01T15:03:37.453519,1,maraude,Où manger dans le quartier ?,
05014438-7167-42c8-a138-83629ba0f564,2025-06-01T15:03:37.454520,16,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Vendredi, Mardi"
5078e5ec-1209-4647-84ee-4b8a9911eb3e,2025-06-01T15:03:37.454520,7,maraude,Je cherche de l'aide pour manger.,
a4641f1c-30d4-4f21-872a-76f3f46ce090,2025-06-01T15:03:37.454520,6,maraude,Je cherche de l'aide pour manger.,
faa35224-2303-4f30-9f4f-1fe4b0c046a5,2025-06-01T15:03:37.454520,15,maraude,Où manger dans le quartier ?,"Jeudi, Mercredi, Lundi"
96512167-759b-4494-8dc6-a20945a79810,2025-06-01T15:03:37.454520,2,maraude,Où manger dans le quartier ?,Mercredi
87a4f29e-2f35-4d16-b34f-e3f14ecf6a57,2025-06-01T15:03:37.454520,14,maraude,Y a-t-il une maraude prévue cette semaine ?,"Jeudi, Lundi, Vendredi"
41e0e4c6-c434-4bd4-b1a4-e1c2c1f3c5c1,2025-06-01T15:03:37.454520,12,maraude,Je cherche de l'aide pour manger.,"Mardi, Lundi, Mercredi"
84ae9807-b1b4-4dc8-9f75-e52054058fe0,2025-06-01T15:03:37.454520,13,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Vendredi
f76c3a9e-ba5e-48fb-a794-a549fb692329,2025-06-01T15:03:37.454520,8,maraude,Où manger dans le quartier ?,"Mercredi, Jeudi, Vendredi"
ef062090-507a-450f-9613-155bf9e06307,2025-06-01T15:03:37.454520,20,maraude,Y a-t-il une maraude prévue cette semaine ?,"Lundi, Mercredi, Mardi"
e2f96f48-6779-4f89-ab87-57b85b9848e7,2025-06-01T15:03:37.454520,3,maraude,Y a-t-il une maraude prévue cette semaine ?,Vendredi
6600993e-dd92-48b3-8128-7bab2776437e,2025-06-01T15:03:37.454520,19,maraude,Y a-t-il une distribution de repas aujourd'hui ?,
16c1ccd5-41f5-4d3f-85c8-7b0c181f3c8c,2025-06-01T15:03:37.454520,11,maraude,Je cherche de l'aide pour manger.,Mercredi
edc82ace-0b65-4c70-8b3c-6dda8aaecb17,2025-06-01T15:03:37.454520,1,maraude,Y a-t-il une distribution de repas aujourd'hui ?,
a2e76170-d541-41fc-9c6c-db0b8360a424,2025-06-01T15:03:37.454520,2,maraude,Où manger dans le quartier ?,Lundi
a2850915-362b-4e0b-9055-cbb93b5415c9,2025-06-01T15:03:37.454520,12,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Mercredi
1dc35147-147a-4628-8390-9b298138d58b,2025-06-01T15:03:37.454520,19,maraude,Où manger dans le quartier ?,"Lundi, Mardi, Jeudi"
0b766eaa-00f2-479e-99ab-879a578bafb1,2025-06-01T15:03:37.454520,17,maraude,Je cherche de l'aide pour manger.,
6b3189a5-2c62-419a-a6df-3914bfe7b92d,2025-06-01T15:03:37.454520,16,maraude,Où manger dans le quartier ?,Mardi
53fc1def-500a-41bd-990d-401e1d0b73c2,2025-06-01T15:03:37.454520,9,maraude,Y a-t-il une maraude prévue cette semaine ?,"Lundi, Mardi"
8879c282-f6a7-41ad-b6a6-316b526acc93,2025-06-01T15:03:37.454520,5,maraude,Y a-t-il une maraude prévue cette semaine ?,
0b5a3066-2c74-4978-8fb3-75953de6cd30,2025-06-01T15:03:37.454520,11,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Mardi
5c5bff13-6842-46ad-9777-c29a900ea248,2025-06-01T15:03:37.454520,8,maraude,Y a-t-il une maraude prévue cette semaine ?,"Vendredi, Mardi, Lundi"
d6cb2fe4-4c61-462f-8ff2-8ba3341862b0,2025-06-01T15:03:37.454520,5,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Jeudi
17244b82-f079-421b-9c19-73c88c85509b,2025-06-01T15:03:37.454520,12,maraude,Je cherche de l'aide pour manger.,
1bbd4aa8-8d46-46e4-91cb-0eaa8bc8d8d6,2025-06-01T15:03:37.454520,10,maraude,Y a-t-il une distribution de repas aujourd'hui ?,
b19ceb57-7989-441f-8711-8adc6721a2ba,2025-06-01T15:03:37.454520,5,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Mercredi
2f896644-6dc0-4d4d-82b8-7575283be7a5,2025-06-01T15:03:37.455517,12,maraude,Y a-t-il une distribution de repas aujourd'hui ?,
d982fd8b-aa43-482f-8855-06492c947c23,2025-06-01T15:03:37.455517,13,maraude,Y a-t-il une maraude prévue cette semaine ?,"Mardi, Mercredi"
7a1a9d6e-b2cd-4916-b4b1-cd5940e4b718,2025-06-01T15:03:37.455517,3,maraude,Où manger dans le quartier ?,"Vendredi, Jeudi"
45cb984a-00ca-4254-b893-d30ae9d494f6,2025-06-01T15:03:37.455517,18,maraude,Où manger dans le quartier ?,Lundi
0cca0a19-6914-4817-84d0-139fac4965e1,2025-06-01T15:03:37.455517,2,maraude,Je cherche de l'aide pour manger.,
f77ea45e-1ea1-4fb6-b9e6-c82c146fe234,2025-06-01T15:03:37.455517,16,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Lundi
0485ce1f-97d9-4e29-b09b-979872c71348,2025-06-01T15:03:37.455517,19,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Mercredi
be760d77-287b-46a7-9d16-39ffde7b07e2,2025-06-01T15:03:37.455517,15,maraude,Où manger dans le quartier ?,"Mardi, Vendredi"
0c38c43c-c660-495d-b147-d671efbacd41,2025-06-01T15:03:37.455517,4,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Lundi, Jeudi"
6ca77b39-81fe-4e63-9746-769d9c848373,2025-06-01T15:03:37.455517,5,maraude,Y a-t-il une maraude prévue cette semaine ?,
19877ab5-3e71-45d7-bec6-2f685ae23246,2025-06-01T15:03:37.455517,16,maraude,Y a-t-il une maraude prévue cette semaine ?,"Vendredi, Mercredi"
4f5a960f-8ac8-4e8c-b1a4-0c32405c0e92,2025-06-01T15:03:37.455517,5,maraude,Y a-t-il une distribution de repas aujourd'hui ?,
3c00dbe4-e0c2-4a13-adda-ac8c2262b92b,2025-06-01T15:03:37.455517,19,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Jeudi, Mercredi, Mardi"
7f604a3e-5d83-40f1-99c7-3ba743167250,2025-06-01T15:03:37.455517,1,maraude,Y a-t-il une maraude prévue cette semaine ?,
97de0675-36f6-4fe1-a6e4-9e4830e15511,2025-06-01T15:03:37.455517,11,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Mardi, Vendredi, Mercredi"
ed9b6dd7-10cc-4ea1-9160-48d3ecd4e9ff,2025-06-01T15:03:37.455517,8,maraude,Y a-t-il une maraude prévue cette semaine ?,Jeudi
3b2f89d4-f17b-4088-9910-161a6debd2ab,2025-06-01T15:03:37.455517,2,maraude,Où manger dans le quartier ?,Mardi
05e0d21c-03cd-4b2f-9610-f0c8274a65f1,2025-06-01T15:03:37.455517,14,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Lundi, Jeudi"
20f612c8-0106-4523-b14a-361910b8bd2c,2025-06-01T15:03:37.455517,9,maraude,Je cherche de l'aide pour manger.,
180b000c-db0a-448b-a28e-caedea81b104,2025-06-01T15:03:37.455517,10,maraude,Y a-t-il une maraude prévue cette semaine ?,
2b9f6650-a0a7-4bb6-97f6-2e4eafe68a6c,2025-06-01T15:03:37.455517,14,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Lundi, Mardi, Jeudi"
305f6c8a-dae8-4e90-839a-a28df8ea5c15,2025-06-01T15:03:37.455517,13,maraude,Y a-t-il une maraude prévue cette semaine ?,Mercredi
1d646a4a-e5e9-49c2-a1e8-9fc1e36403dd,2025-06-01T15:03:37.455517,16,maraude,Où manger dans le quartier ?,"Lundi, Mercredi, Jeudi"
810340d0-1412-4903-aa1d-3ac817850010,2025-06-01T15:03:37.455517,20,maraude,Y a-t-il une maraude prévue cette semaine ?,
10582e3f-e942-4c5c-916d-d8932a019a8a,2025-06-01T15:03:37.455517,14,maraude,Où manger dans le quartier ?,
f508a1a6-8dda-418e-9001-6797483b70ad,2025-06-01T15:03:37.455517,14,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Mardi, Lundi"
4762d3a0-5294-49ba-914c-d83ad4795d3b,2025-06-01T15:03:37.456526,14,maraude,Où manger dans le quartier ?,"Mardi, Vendredi, Jeudi"
3c2657c2-c833-4cf0-8078-2f0c2e47e50b,2025-06-01T15:03:37.456526,10,maraude,Je cherche de l'aide pour manger.,"Mercredi, Mardi, Jeudi"
6beead69-2d03-41b0-bce3-f4328b221533,2025-06-01T15:03:37.456526,19,maraude,Je cherche de l'aide pour manger.,
820523c1-c332-45c3-a164-1cbed34d0437,2025-06-01T15:03:37.456526,2,maraude,Je cherche de l'aide pour manger.,Jeudi
a6dfe1df-9648-444d-9533-8f87b23c5726,2025-06-01T15:03:37.456526,8,maraude,Y a-t-il une maraude prévue cette semaine ?,
c538e30d-f824-413e-a3f7-e5e232395f23,2025-06-01T15:03:37.456526,18,maraude,Y a-t-il une maraude prévue cette semaine ?,"Vendredi, Lundi, Jeudi"
e4ac4bb7-a2a2-4870-9e00-187f45046835,2025-06-01T15:03:37.456526,13,maraude,Où manger dans le quartier ?,"Vendredi, Mercredi"
8cb10fda-4475-4d1c-abd6-ab750a558590,2025-06-01T15:03:37.456526,9,maraude,Y a-t-il une maraude prévue cette semaine ?,Mercredi
c3bc030f-997e-48f1-9a55-f43cc6ed9a3e,2025-06-01T15:03:37.456526,13,maraude,Je cherche de l'aide pour manger.,
899666da-97bd-4856-8d00-7f46da000922,2025-06-01T15:03:37.456526,3,maraude,Y a-t-il une maraude prévue cette semaine ?,"Mercredi, Jeudi"
c2cc6572-1d93-4136-a832-780fee31a506,2025-06-01T15:03:37.456526,3,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Mardi
ad932bf8-fcf6-47b9-a255-6f169e0ba4a6,2025-06-01T15:03:37.456526,8,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Vendredi
4e9e93e8-ecd8-43cc-a342-4845eb25143d,2025-06-01T15:03:37.456526,3,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Jeudi, Mercredi, Lundi"
60e14075-6b8a-4a58-9ec5-c9d9951f2caf,2025-06-01T15:03:37.456526,9,maraude,Y a-t-il une maraude prévue cette semaine ?,"Mercredi, Jeudi, Vendredi"
8b2594b8-55b8-4bf1-b211-aa0c60e01dbd,2025-06-01T15:03:37.456526,8,maraude,Je cherche de l'aide pour manger.,"Lundi, Mardi, Jeudi"
2bed22d0-fd6e-455c-a5d2-281a91e97122,2025-06-01T15:03:37.456526,8,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Mercredi, Vendredi"
3fd916fb-62bf-45fa-9ad5-3f1943ee77fa,2025-06-01T15:03:37.456526,16,maraude,Y a-t-il une maraude prévue cette semaine ?,"Jeudi, Mercredi, Lundi"
e3d533ba-ce2b-4027-a755-3e4d92151f61,2025-06-01T15:03:37.456526,13,maraude,Y a-t-il une maraude prévue cette semaine ?,"Lundi, Jeudi, Vendredi"
c41de828-7c9f-43f0-b2b0-66a8fb67fa98,2025-06-01T15:03:37.456526,17,maraude,Où manger dans le quartier ?,"Mardi, Mercredi"
1c9912a3-3781-4946-8bfd-dc3c2044a9de,2025-06-01T15:03:37.456526,13,maraude,Y a-t-il une distribution de repas aujourd'hui ?,
29df8212-bb5e-4d10-8671-7c88a997740f,2025-06-01T15:03:37.456526,17,maraude,Je cherche de l'aide pour manger.,Lundi
2b8a7abc-5c6b-47f3-9dd0-1023f1d3470a,2025-06-01T15:03:37.456526,9,maraude,Y a-t-il une maraude prévue cette semaine ?,
0f77cc94-27e6-448e-b375-fb0861df595e,2025-06-01T15:03:37.456526,11,maraude,Y a-t-il une maraude prévue cette semaine ?,
d2db514f-d52a-42ce-8e4d-b1a3af20556b,2025-06-01T15:03:37.456526,10,maraude,Y a-t-il une distribution de repas aujourd'hui ?,
e1c1409c-4a50-4287-9d6e-dac41653e627,2025-06-01T15:03:37.457526,15,maraude,Y a-t-il une maraude prévue cette semaine ?,
dd5f0962-658a-4313-83f6-a51d3046d3d0,2025-06-01T15:03:37.457526,13,maraude,Où manger dans le quartier ?,"Vendredi, Mardi"
e621e953-4790-4ce0-aeb3-70464174d65f,2025-06-01T15:03:37.457526,5,maraude,Où manger dans le quartier ?,"Mercredi, Jeudi"
c3541648-7aba-4361-980c-3ef4e7d6e680,2025-06-01T15:03:37.457526,9,maraude,Je cherche de l'aide pour manger.,"Lundi, Mercredi, Vendredi"
662696a2-1585-47a7-90b1-0199467f75ff,2025-06-01T15:03:37.457526,12,maraude,Y a-t-il une distribution de repas aujourd'hui ?,
fe9e36ed-b53f-4f48-be47-9f511b804847,2025-06-01T15:03:37.457526,18,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Mardi
ed868fec-818e-4d3d-91ce-6b083bfd1bae,2025-06-01T15:03:37.457526,15,maraude,Je cherche de l'aide pour manger.,
e6c11733-6ee7-45bb-8a93-618d22ab36da,2025-06-01T15:03:37.457526,5,maraude,Y a-t-il une maraude prévue cette semaine ?,"Lundi, Jeudi"
1e311883-b066-4647-9c0d-fb11da95072a,2025-06-01T15:03:37.457526,15,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Mercredi, Mardi"
4b5f586a-f82c-4de4-9e5a-61f312e5d7b9,2025-06-01T15:03:37.457526,20,maraude,Y a-t-il une maraude prévue cette semaine ?,Vendredi
6808e7a9-0743-401c-bb0d-1e8a5fc1e684,2025-06-01T15:03:37.457526,17,maraude,Où manger dans le quartier ?,"Jeudi, Mercredi"
5b8b4e11-d084-48c2-b4ee-f60d9dab8b12,2025-06-01T15:03:37.457526,6,maraude,Y a-t-il une maraude prévue cette semaine ?,
c3ce2ea5-506d-4cdc-b943-81e08e2996b9,2025-06-01T15:03:37.457526,16,maraude,Je cherche de l'aide pour manger.,"Vendredi, Jeudi, Lundi"
5feb1d46-8be1-4c86-ae16-2f51084bd365,2025-06-01T15:03:37.458521,9,maraude,Je cherche de l'aide pour manger.,"Jeudi, Mardi"
462166e3-abd1-403d-9e08-5e6d75c6d7c5,2025-06-01T15:03:37.458521,7,maraude,Je cherche de l'aide pour manger.,"Jeudi, Lundi, Mercredi"
be574a7f-95e5-4376-8f65-22ad4016125e,2025-06-01T15:03:37.458521,17,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Vendredi, Mardi"
15b5984b-254f-48ad-864c-e1184246d7db,2025-06-01T15:03:37.458521,7,maraude,Où manger dans le quartier ?,"Jeudi, Lundi"
0827a43f-1e29-414a-b529-0f585f42b52f,2025-06-01T15:03:37.458521,7,maraude,Je cherche de l'aide pour manger.,"Jeudi, Mardi, Lundi"
6c459fac-c09f-4943-9b2f-e50f7748338b,2025-06-01T15:03:37.458521,8,maraude,Je cherche de l'aide pour manger.,"Lundi, Vendredi"
6897cf0f-bdb3-47b2-84c2-d97291ebc13c,2025-06-01T15:03:37.458521,13,maraude,Je cherche de l'aide pour manger.,"Mardi, Mercredi"
d25924cd-42a8-4e68-9ce5-7f61427ce8f7,2025-06-01T15:03:37.458521,6,maraude,Y a-t-il une maraude prévue cette semaine ?,
d7143dfe-b1a1-4dd4-b4f1-732dc9662fe9,2025-06-01T15:03:37.458521,7,maraude,Y a-t-il une distribution de repas aujourd'hui ?,
9e9744f7-38c6-4fa4-af26-27172cb767f9,2025-06-01T15:03:37.458521,13,maraude,Où manger dans le quartier ?,"Vendredi, Jeudi, Mercredi"
8022c68f-a949-4708-9a2a-71e66d1c5c47,2025-06-01T15:03:37.458521,19,maraude,Y a-t-il une distribution de repas aujourd'hui ?,
011f0588-979b-4530-a56c-96a7a2efc3d9,2025-06-01T15:03:37.458521,15,maraude,Où manger dans le quartier ?,
d6c6dd88-a893-4cd3-b250-bf3f926fe992,2025-06-01T15:03:37.458521,16,maraude,Où manger dans le quartier ?,
559e12f9-1e45-4abc-938d-be190700cfed,2025-06-01T15:03:37.458521,20,maraude,Y a-t-il une maraude prévue cette semaine ?,Mardi
2968d89a-473a-48e5-8d1b-d4d4987fc7ee,2025-06-01T15:03:37.458521,4,maraude,Je cherche de l'aide pour manger.,"Jeudi, Mercredi"
319ea8fc-74e7-4876-a924-1d737f720832,2025-06-01T15:03:37.458521,20,maraude,Y a-t-il une maraude prévue cette semaine ?,"Mardi, Mercredi"
8d54172f-da5a-43cb-acc9-aee8ba8a02af,2025-06-01T15:03:37.458521,5,maraude,Y a-t-il une maraude prévue cette semaine ?,"Jeudi, Lundi"
dbb3352d-36eb-42fe-b89a-2186e2371d1f,2025-06-01T15:03:37.458521,12,maraude,Y a-t-il une maraude prévue cette semaine ?,
035ab789-17ca-4d40-b666-67e81c6a906b,2025-06-01T15:03:37.458521,4,maraude,Y a-t-il une distribution de repas aujourd'hui ?,
bc22ef85-342b-40ab-8ba6-10014fa7b354,2025-06-01T15:03:37.458521,4,maraude,Où manger dans le quartier ?,Vendredi
286897ee-d4da-491c-98a4-568d7640bb80,2025-06-01T15:03:37.458521,19,maraude,Je cherche de l'aide pour manger.,
a98d0b4a-0ad5-44d5-aeb7-d7ce524a44b7,2025-06-01T15:03:37.458521,9,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Vendredi, Lundi, Mercredi"
8cabdc83-344d-4c86-ab11-80e9b2df5983,2025-06-01T15:03:37.458521,9,maraude,Y a-t-il une maraude prévue cette semaine ?,"Lundi, Jeudi"
4bb7a297-52c2-450f-9c23-ef9242ecacab,2025-06-01T15:03:37.459526,2,maraude,Y a-t-il une maraude prévue cette semaine ?,"Mardi, Lundi, Mercredi"
fa430070-ae2c-4458-b251-67801bd268d9,2025-06-01T15:03:37.459526,17,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Vendredi, Lundi, Mardi"
53110578-8d02-4793-a57f-7e79897b0a2e,2025-06-01T15:03:37.459526,17,maraude,Y a-t-il une maraude prévue cette semaine ?,"Vendredi, Lundi"
1f6469bd-8126-41ab-8c9d-08b933d6a528,2025-06-01T15:03:37.459526,8,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Vendredi, Lundi, Mercredi"
d4cb8288-7efd-4316-b679-67f68ce5ee08,2025-06-01T15:03:37.459526,8,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Lundi, Jeudi"
b75bae2b-000b-489e-9038-389ba979625d,2025-06-01T15:03:37.459526,2,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Jeudi
3d72d440-5b68-4d73-982d-b7be6dbb3d2f,2025-06-01T15:03:37.459526,2,maraude,Où manger dans le quartier ?,
1b4ba16a-0de1-48e6-8979-799b330e9e96,2025-06-01T15:03:37.459526,13,maraude,Je cherche de l'aide pour manger.,
9ceb4698-7710-41ed-b3ee-4dde6678b4e7,2025-06-01T15:03:37.459526,10,maraude,Y a-t-il une maraude prévue cette semaine ?,Mardi
642e4813-eeb7-4f73-a385-1c3ee6c6572c,2025-06-01T15:03:37.459526,9,maraude,Je cherche de l'aide pour manger.,"Mercredi, Mardi, Vendredi"
b0165c67-7e4c-4d2e-8d89-d4d348ba2e09,2025-06-01T15:03:37.459526,12,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Mardi, Lundi"
f1f2e56f-2619-4e96-b52b-a0b7c3312381,2025-06-01T15:03:37.459526,10,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Jeudi, Mercredi"
45defaf1-05b6-4b07-bbe1-af7b3120768f,2025-06-01T15:03:37.459526,1,maraude,Où manger dans le quartier ?,Jeudi
f173110d-8231-4327-ad48-8d1bfa7b4e1d,2025-06-01T15:03:37.459526,17,maraude,Y a-t-il une maraude prévue cette semaine ?,"Mercredi, Jeudi"
c897a286-1aea-44eb-87a6-af6a789f87d1,2025-06-01T15:03:37.459526,15,maraude,Où manger dans le quartier ?,"Jeudi, Vendredi"
4b63d952-22fb-409a-bdad-aaaf007e87f6,2025-06-01T15:03:37.459526,19,maraude,Je cherche de l'aide pour manger.,"Vendredi, Jeudi"
